Jabatan 1,Jabatan 2
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA BANJARMASIN,SEKRETARIS KPU KOTA BANJARMASIN
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA BATU,SEKRETARIS KPU KOTA BATU
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA BAU BAU,SEKRETARIS KPU KOTA BAU BAU
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA BEKASI,SEKRETARIS KPU KOTA BEKASI
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA BENGKULU,SEKRETARIS KPU KOTA BENGKULU
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA BIMA,SEKRETARIS KPU KOTA BIMA
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA BINJAI,SEKRETARIS KPU KOTA BINJAI
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA BITUNG,SEKRETARIS KPU KOTA BITUNG
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA BLITAR,SEKRETARIS KPU KOTA BLITAR
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA BOGOR,SEKRETARIS KPU KOTA BOGOR
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA BONTANG,SEKRETARIS KPU KOTA BONTANG
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA BUKITTINGGI,SEKRETARIS KPU KOTA BUKITTINGGI
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA CILEGON,SEKRETARIS KPU KOTA CILEGON
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA CIMAHI,SEKRETARIS KPU KOTA CIMAHI
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA DENPASAR,SEKRETARIS KPU KOTA DENPASAR
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA DUMAI,SEKRETARIS KPU KOTA DUMAI
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA GORONTALO,SEKRETARIS KPU KOTA GORONTALO
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA GUNUNGSITOLI,SEKRETARIS KPU KOTA GUNUNGSITOLI
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA JAKARTA BARAT,SEKRETARIS KPU KOTA JAKARTA BARAT
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA JAKARTA PUSAT,SEKRETARIS KPU KOTA JAKARTA PUSAT
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA JAKARTA SELATAN,SEKRETARIS KPU KOTA JAKARTA SELATAN
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA JAKARTA TIMUR,SEKRETARIS KPU KOTA JAKARTA TIMUR
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA JAKARTA UTARA,SEKRETARIS KPU KOTA JAKARTA UTARA
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA JAMBI,SEKRETARIS KPU KOTA JAMBI
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA JAYAPURA,SEKRETARIS KPU KOTA JAYAPURA
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA KEDIRI,SEKRETARIS KPU KOTA KEDIRI
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA KENDARI,SEKRETARIS KPU KOTA KENDARI
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA KOTAMOBAGU,SEKRETARIS KPU KOTA KOTAMOBAGU
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA KUPANG,SEKRETARIS KPU KOTA KUPANG
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA LUBUKLINGGAU,SEKRETARIS KPU KOTA LUBUKLINGGAU
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA MADIUN,SEKRETARIS KPU KOTA MADIUN
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA MAGELANG,SEKRETARIS KPU KOTA MAGELANG
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA MAKASSAR,SEKRETARIS KPU KOTA MAKASSAR
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA MALANG,SEKRETARIS KPU KOTA MALANG
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA MANADO,SEKRETARIS KPU KOTA MANADO
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA MATARAM,SEKRETARIS KPU KOTA MATARAM
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA METRO,SEKRETARIS KPU KOTA METRO
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA MOJOKERTO,SEKRETARIS KPU KOTA MOJOKERTO
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA PADANG,SEKRETARIS KPU KOTA PADANG
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA PADANG PANJANG,SEKRETARIS KPU KOTA PADANG PANJANG
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA PADANG SIDEMPUAN,SEKRETARIS KPU KOTA PADANG SIDEMPUAN
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA PAGAR ALAM,SEKRETARIS KPU KOTA PAGAR ALAM
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA PALANGKARAYA,SEKRETARIS KPU KOTA PALANGKARAYA
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA PALOPO,SEKRETARIS KPU KOTA PALOPO
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA PALU,SEKRETARIS KPU KOTA PALU
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA PANGKALPINANG,SEKRETARIS KPU KOTA PANGKALPINANG
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA PARE PARE,SEKRETARIS KPU KOTA PARE PARE
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA PARIAMAN,SEKRETARIS KPU KOTA PARIAMAN
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA PASURUAN,SEKRETARIS KPU KOTA PASURUAN
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA PAYAKUMBUH,SEKRETARIS KPU KOTA PAYAKUMBUH
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA PONTIANAK,SEKRETARIS KPU KOTA PONTIANAK
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA PROBOLINGGO,SEKRETARIS KPU KOTA PROBOLINGGO
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA SALATIGA,SEKRETARIS KPU KOTA SALATIGA
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA SAMARINDA,SEKRETARIS KPU KOTA SAMARINDA
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA SAWAHLUNTO,SEKRETARIS KPU KOTA SAWAHLUNTO
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA SEMARANG,SEKRETARIS KPU KOTA SEMARANG
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA SERANG,SEKRETARIS KPU KOTA SERANG
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA SIBOLGA,SEKRETARIS KPU KOTA SIBOLGA
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA SINGKAWANG,SEKRETARIS KPU KOTA SINGKAWANG
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA SORONG,SEKRETARIS KPU KOTA SORONG
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA SUNGAI PENUH,SEKRETARIS KPU KOTA SUNGAI PENUH
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA SURABAYA,SEKRETARIS KPU KOTA SURABAYA
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA TANGERANG,SEKRETARIS KPU KOTA TANGERANG
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA TANGERANG SELATAN,SEKRETARIS KPU KOTA TANGERANG SELATAN
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA TANJUNG BALAI,SEKRETARIS KPU KOTA TANJUNG BALAI
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA TANJUNGPINANG,SEKRETARIS KPU KOTA TANJUNGPINANG
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA TARAKAN,SEKRETARIS KPU KOTA TARAKAN
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA TASIKMALAYA,SEKRETARIS KPU KOTA TASIKMALAYA
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA TEBING TINGGI,SEKRETARIS KPU KOTA TEBING TINGGI
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA TEGAL,SEKRETARIS KPU KOTA TEGAL
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA TERNATE,SEKRETARIS KPU KOTA TERNATE
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA TIDORE KEPULAUAN,SEKRETARIS KPU KOTA TIDORE KEPULAUAN
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA TOMOHON,SEKRETARIS KPU KOTA TOMOHON
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA TUAL,SEKRETARIS KPU KOTA TUAL
SEKRETARIS KOMISI PEMILIHAN UMUM KOTA YOGYAKARTA,SEKRETARIS KPU KOTA YOGYAKARTA
SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI BALI,SEKRETARIS KPU PROVINSI BALI
SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI BANTEN,SEKRETARIS KPU PROVINSI BANTEN
SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI BENGKULU,SEKRETARIS KPU PROVINSI BENGKULU
SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI DAERAH ISTIMEWA YOGYAKARTA,SEKRETARIS KPU PROVINSI DAERAH ISTIMEWA YOGYAKARTA
SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI DKI JAKARTA,SEKRETARIS KPU PROVINSI DKI JAKARTA
SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI GORONTALO,SEKRETARIS KPU PROVINSI GORONTALO
SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI JAMBI,SEKRETARIS KPU PROVINSI JAMBI
SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI JAWA BARAT,SEKRETARIS KPU PROVINSI JAWA BARAT
SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI JAWA TENGAH,SEKRETARIS KPU PROVINSI JAWA TENGAH
SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI JAWA TIMUR,SEKRETARIS KPU PROVINSI JAWA TIMUR
SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI KALIMANTAN BARAT,SEKRETARIS KPU PROVINSI KALIMANTAN BARAT
SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI KALIMANTAN SELATAN,SEKRETARIS KPU PROVINSI KALIMANTAN SELATAN
SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI KALIMANTAN TENGAH,SEKRETARIS KPU PROVINSI KALIMANTAN TENGAH
SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI KALIMANTAN TIMUR,SEKRETARIS KPU PROVINSI KALIMANTAN TIMUR
SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI KALIMANTAN UTARA,SEKRETARIS KPU PROVINSI KALIMANTAN UTARA
SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI KEPULAUAN BANGKA BELITUNG,SEKRETARIS KPU PROVINSI KEPULAUAN BANGKA BELITUNG
SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI KEPULAUAN RIAU,SEKRETARIS KPU PROVINSI KEPULAUAN RIAU
SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI LAMPUNG,SEKRETARIS KPU PROVINSI LAMPUNG
SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI MALUKU,SEKRETARIS KPU PROVINSI MALUKU
SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI MALUKU UTARA,SEKRETARIS KPU PROVINSI MALUKU UTARA
SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI NUSA TENGGARA BARAT,SEKRETARIS KPU PROVINSI NUSA TENGGARA BARAT
SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI PAPUA,SEKRETARIS KPU PROVINSI PAPUA
SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI PAPUA BARAT,SEKRETARIS KPU PROVINSI PAPUA BARAT
SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI RIAU,SEKRETARIS KPU PROVINSI RIAU
SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI SULAWESI BARAT,SEKRETARIS KPU PROVINSI SULAWESI BARAT
SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI SULAWESI SELATAN,SEKRETARIS KPU PROVINSI SULAWESI SELATAN
SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI SULAWESI TENGAH,SEKRETARIS KPU PROVINSI SULAWESI TENGAH
SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI SULAWESI TENGGARA,SEKRETARIS KPU PROVINSI SULAWESI TENGGARA
SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI SULAWESI UTARA,SEKRETARIS KPU PROVINSI SULAWESI UTARA
SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI SUMATERA BARAT,SEKRETARIS KPU PROVINSI SUMATERA BARAT
SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI SUMATERA SELATAN,SEKRETARIS KPU PROVINSI SUMATERA SELATAN
SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI SUMATERA UTARA,SEKRETARIS KPU PROVINSI SUMATERA UTARA
SEKRETARIS KPU PROVINSI PAPUA BARAT DAYA,SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI PAPUA BARAT DAYA
SEKRETARIS KPU PROVINSI PAPUA PEGUNUNGAN,SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI PAPUA PEGUNUNGAN
SEKRETARIS KPU PROVINSI PAPUA SELATAN,SEKRETARIS KOMISI PEMILIHAN UMUM PROVINSI PAPUA SELATAN
SEKRETARIS PIMPINAN,SEKRETARIS PIMPINAN
SEKRETARIS JENDERAL KOMISI PEMILIHAN UMUM,SEKRETARIS JENDERAL KOMISI PEMILIHAN UMUM
SEKRETARIS KIP KABUPATEN ACEH BARAT,SEKRETARIS KOMISI INDEPENDEN PEMILIHAN KABUPATEN ACEH BARAT
SEKRETARIS KIP KABUPATEN ACEH BARAT DAYA,SEKRETARIS KOMISI INDEPENDEN PEMILIHAN KABUPATEN ACEH BARAT DAYA
SEKRETARIS KIP KABUPATEN ACEH BESAR,SEKRETARIS KOMISI INDEPENDEN PEMILIHAN KABUPATEN ACEH BESAR
SEKRETARIS KIP KABUPATEN ACEH JAYA,SEKRETARIS KOMISI INDEPENDEN PEMILIHAN KABUPATEN ACEH JAYA
SEKRETARIS KIP KABUPATEN ACEH SINGKIL,SEKRETARIS KOMISI INDEPENDEN PEMILIHAN KABUPATEN ACEH SINGKIL
SEKRETARIS KIP KABUPATEN ACEH TAMIANG,SEKRETARIS KOMISI INDEPENDEN PEMILIHAN KABUPATEN ACEH TAMIANG
SEKRETARIS KIP KABUPATEN ACEH TENGAH,SEKRETARIS KOMISI INDEPENDEN PEMILIHAN KABUPATEN ACEH TENGAH
SEKRETARIS KIP KABUPATEN ACEH TENGGARA,SEKRETARIS KOMISI INDEPENDEN PEMILIHAN KABUPATEN ACEH TENGGARA
SEKRETARIS KIP KABUPATEN ACEH TIMUR,SEKRETARIS KOMISI INDEPENDEN PEMILIHAN KABUPATEN ACEH TIMUR
SEKRETARIS KIP KABUPATEN ACEH UTARA,SEKRETARIS KOMISI INDEPENDEN PEMILIHAN KABUPATEN ACEH UTARA
SEKRETARIS KIP KABUPATEN BENER MERIAH,SEKRETARIS KOMISI INDEPENDEN PEMILIHAN KABUPATEN BENER MERIAH
SEKRETARIS KIP KABUPATEN BIREUEN,SEKRETARIS KOMISI INDEPENDEN PEMILIHAN KABUPATEN BIREUEN
SEKRETARIS KIP KABUPATEN GAYO LUES,SEKRETARIS KOMISI INDEPENDEN PEMILIHAN KABUPATEN GAYO LUES
SEKRETARIS KIP KABUPATEN NAGAN RAYA,SEKRETARIS KOMISI INDEPENDEN PEMILIHAN KABUPATEN NAGAN RAYA
SEKRETARIS KIP KABUPATEN PIDIE,SEKRETARIS KOMISI INDEPENDEN PEMILIHAN KABUPATEN PIDIE
SEKRETARIS KIP KABUPATEN PIDIE JAYA,SEKRETARIS KOMISI INDEPENDEN PEMILIHAN KABUPATEN PIDIE JAYA
SEKRETARIS KIP KABUPATEN SIMEULUE,SEKRETARIS KOMISI INDEPENDEN PEMILIHAN KABUPATEN SIMEULUE
SEKRETARIS KIP KOTA BANDA ACEH,SEKRETARIS KOMISI INDEPENDEN PEMILIHAN KOTA BANDA ACEH
SEKRETARIS KIP KOTA LANGSA,SEKRETARIS KOMISI INDEPENDEN PEMILIHAN KOTA LANGSA
SEKRETARIS KIP KOTA LHOKSEUMAWE,SEKRETARIS KOMISI INDEPENDEN PEMILIHAN KOTA LHOKSEUMAWE
SEKRETARIS KIP KOTA SABANG,SEKRETARIS KOMISI INDEPENDEN PEMILIHAN KOTA SABANG
SEKRETARIS KIP KOTA SUBULUSSALAM,SEKRETARIS KOMISI INDEPENDEN PEMILIHAN KOTA SUBULUSSALAM
SEKRETARIS KIP PROVINSI ACEH,SEKRETARIS KOMISI INDEPENDEN PEMILIHAN PROVINSI ACEH
SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN MALUKU TENGAH,SEKRETARIS KPU KABUPATEN MALUKU TENGAH
SEKRETARIS KPU KABUPATEN AGAM,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN AGAM
SEKRETARIS KPU KABUPATEN ALOR,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN ALOR
SEKRETARIS KPU KABUPATEN ASAHAN,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN ASAHAN
SEKRETARIS KPU KABUPATEN ASMAT,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN ASMAT
SEKRETARIS KPU KABUPATEN BADUNG,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BADUNG
SEKRETARIS KPU KABUPATEN BALANGAN,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BALANGAN
SEKRETARIS KPU KABUPATEN BANDUNG,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BANDUNG
SEKRETARIS KPU KABUPATEN BANDUNG BARAT,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BANDUNG BARAT
SEKRETARIS KPU KABUPATEN BANGGAI KEPULAUAN,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BANGGAI KEPULAUAN
SEKRETARIS KPU KABUPATEN BANGGAI LAUT,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BANGGAI LAUT
SEKRETARIS KPU KABUPATEN BANGKA,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BANGKA
SEKRETARIS KPU KABUPATEN BANGKA BARAT,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BANGKA BARAT
SEKRETARIS KPU KABUPATEN BANGKA SELATAN,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BANGKA SELATAN
SEKRETARIS KPU KABUPATEN BANGKA TENGAH,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BANGKA TENGAH
SEKRETARIS KPU KABUPATEN BANGKALAN,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BANGKALAN
SEKRETARIS KPU KABUPATEN BANJAR,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BANJAR
SEKRETARIS KPU KABUPATEN BANJARNEGARA,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BANJARNEGARA
SEKRETARIS KPU KABUPATEN BANTAENG,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BANTAENG
SEKRETARIS KPU KABUPATEN BANTUL,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BANTUL
SEKRETARIS KPU KABUPATEN BANYUASIN,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BANYUASIN
SEKRETARIS KPU KABUPATEN BANYUMAS,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BANYUMAS
SEKRETARIS KPU KABUPATEN BANYUWANGI,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BANYUWANGI
SEKRETARIS KPU KABUPATEN BARITO KUALA,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BARITO KUALA
SEKRETARIS KPU KABUPATEN BARITO SELATAN,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BARITO SELATAN
SEKRETARIS KPU KABUPATEN BARITO TIMUR,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BARITO TIMUR
SEKRETARIS KPU KABUPATEN BARITO UTARA,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BARITO UTARA
SEKRETARIS KPU KABUPATEN BARRU,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BARRU
SEKRETARIS KPU KABUPATEN BATANG,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BATANG
SEKRETARIS KPU KABUPATEN BATANGHARI,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BATANGHARI
SEKRETARIS KPU KABUPATEN BATU BARA,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BATU BARA
SEKRETARIS KPU KABUPATEN BEKASI,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BEKASI
SEKRETARIS KPU KABUPATEN BELITUNG,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BELITUNG
SEKRETARIS KPU KABUPATEN BELITUNG TIMUR,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BELITUNG TIMUR
SEKRETARIS KPU KABUPATEN BELU,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BELU
SEKRETARIS KPU KABUPATEN BENGKALIS,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BENGKALIS
SEKRETARIS KPU KABUPATEN BENGKAYANG,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BENGKAYANG
SEKRETARIS KPU KABUPATEN BENGKULU UTARA,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BENGKULU UTARA
SEKRETARIS KPU KABUPATEN BERAU,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BERAU
SEKRETARIS KPU KABUPATEN BIAK NUMFOR,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BIAK NUMFOR
SEKRETARIS KPU KABUPATEN BIMA,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BIMA
SEKRETARIS KPU KABUPATEN BINTAN,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BINTAN
SEKRETARIS KPU KABUPATEN BLITAR,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BLITAR
SEKRETARIS KPU KABUPATEN BLORA,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BLORA
SEKRETARIS KPU KABUPATEN BOALEMO,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BOALEMO
SEKRETARIS KPU KABUPATEN BOGOR,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BOGOR
SEKRETARIS KPU KABUPATEN BOJONEGORO,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BOJONEGORO
SEKRETARIS KPU KABUPATEN BOLAANG MONGONDOW,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BOLAANG MONGONDOW
SEKRETARIS KPU KABUPATEN BOLAANG MONGONDOW SELATAN,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BOLAANG MONGONDOW SELATAN
SEKRETARIS KPU KABUPATEN BOLAANG MONGONDOW TIMUR,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BOLAANG MONGONDOW TIMUR
SEKRETARIS KPU KABUPATEN BOLAANG MONGONDOW UTARA,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BOLAANG MONGONDOW UTARA
SEKRETARIS KPU KABUPATEN BOMBANA,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BOMBANA
SEKRETARIS KPU KABUPATEN BONDOWOSO,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BONDOWOSO
SEKRETARIS KPU KABUPATEN BONE,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BONE
SEKRETARIS KPU KABUPATEN BONE BOLANGO,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BONE BOLANGO
SEKRETARIS KPU KABUPATEN BOVEN DIGOEL,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BOVEN DIGOEL
SEKRETARIS KPU KABUPATEN BREBES,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BREBES
SEKRETARIS KPU KABUPATEN BULELENG,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BULELENG
SEKRETARIS KPU KABUPATEN BULUKUMBA,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BULUKUMBA
SEKRETARIS KPU KABUPATEN BULUNGAN,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BULUNGAN
SEKRETARIS KPU KABUPATEN BUNGO,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BUNGO
SEKRETARIS KPU KABUPATEN BUOL,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BUOL
SEKRETARIS KPU KABUPATEN BURU SELATAN,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BURU SELATAN
SEKRETARIS KPU KABUPATEN BUTON,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BUTON
SEKRETARIS KPU KABUPATEN BUTON TENGAH,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BUTON TENGAH
SEKRETARIS KPU KABUPATEN BUTON UTARA,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN BUTON UTARA
SEKRETARIS KPU KABUPATEN CIAMIS,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN CIAMIS
SEKRETARIS KPU KABUPATEN CIANJUR,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN CIANJUR
SEKRETARIS KPU KABUPATEN CILACAP,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN CILACAP
SEKRETARIS KPU KABUPATEN CIREBON,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN CIREBON
SEKRETARIS KPU KABUPATEN DAIRI,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN DAIRI
SEKRETARIS KPU KABUPATEN DEIYAI,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN DEIYAI
SEKRETARIS KPU KABUPATEN DELI SERDANG,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN DELI SERDANG
SEKRETARIS KPU KABUPATEN DEMAK,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN DEMAK
SEKRETARIS KPU KABUPATEN DHARMASRAYA,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN DHARMASRAYA
SEKRETARIS KPU KABUPATEN DOGIYAI,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN DOGIYAI
SEKRETARIS KPU KABUPATEN DOMPU,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN DOMPU
SEKRETARIS KPU KABUPATEN EMPAT LAWANG,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN EMPAT LAWANG
SEKRETARIS KPU KABUPATEN ENDE,SEKRETARIS KOMISI PEMILIHAN UMUM KABUPATEN ENDE
